order_id,order_no,trandate,customer,line_no,item,quantity,rate,amount
4385364,123456892,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385364,123456892,13/6/2024,444563 Brook Systems,2,UPS,-1,12,-12
4385364,123456892,13/6/2024,444563 Brook Systems,3,-Not Taxable-,-1,0,0
4385363,123456891,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385363,123456891,13/6/2024,444563 Brook Systems,2,UPS,-1,12,-12
4385363,123456891,13/6/2024,444563 Brook Systems,3,-Not Taxable-,-1,0,0
4385362,123456890,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385362,123456890,13/6/2024,444563 Brook Systems,2,UPS,-1,12,-12
4385362,123456890,13/6/2024,444563 Brook Systems,3,-Not Taxable-,-1,0,0
4385361,123456889,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385361,123456889,13/6/2024,444563 Brook Systems,2,UPS,-1,12,-12
4385361,123456889,13/6/2024,444563 Brook Systems,3,-Not Taxable-,-1,0,0
4385260,123456888,13/6/2024,12 Al Futaim,1,Administration,-3,100,-300
4385260,123456888,13/6/2024,12 Al Futaim,2,UNDEF_SG,-1,0,0
4385254,123456887,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385254,123456887,13/6/2024,444563 Brook Systems,2,UPS,-1,12,-12
4385254,123456887,13/6/2024,444563 Brook Systems,3,-Not Taxable-,-1,0,0
4385153,123456886,13/6/2024,16 Abd-Allah Salama,1,Administration,-1,250,-250
4385153,123456886,13/6/2024,16 Abd-Allah Salama,2,3rd Party Licence,-3,350,-1050
4385153,123456886,13/6/2024,16 Abd-Allah Salama,3,Air Tickets,-5,4000,-20000
4385153,123456886,13/6/2024,16 Abd-Allah Salama,4,Z-PH,-1,0,0
4385151,123456885,13/6/2024,444563 Brook Systems,1,Note 8,-1,100,-100
4385151,123456885,13/6/2024,444563 Brook Systems,2,UPS,-1,12,-12
4385151,123456885,13/6/2024,444563 Brook Systems,3,-Not Taxable-,-1,0,0
4385050,123456884,13/6/2024,1 yyy test,1,003 ترميم,-5,5,-25
4385050,123456884,13/6/2024,1 yyy test,2,UPS,-1,12,-12
4385050,123456884,13/6/2024,1 yyy test,3,-Not Taxable-,-1,0,0
4385050,123456884,13/6/2024,1 yyy test,4,AK,-1,0,0
4384946,123456883,13/6/2024,1 yyy test,1,003 ترميم,-10,100,-1000
4384946,123456883,13/6/2024,1 yyy test,2,UPS,-1,12,-12
4384946,123456883,13/6/2024,1 yyy test,3,-Not Taxable-,-1,0,0
4384946,123456883,13/6/2024,1 yyy test,4,AK,-1,0,0
4384945,123456882,13/6/2024,1 yyy test,1,003 ترميم,-10,100,-1000
4384945,123456882,13/6/2024,1 yyy test,2,UPS,-1,12,-12
4384945,123456882,13/6/2024,1 yyy test,3,-Not Taxable-,-1,0,0
4384843,123456881,13/6/2024,1 yyy test,1,003 ترميم,-10,100,-1000
4384843,123456881,13/6/2024,1 yyy test,2,UPS,-1,12,-12
4384843,123456881,13/6/2024,1 yyy test,3,-Not Taxable-,-1,0,0
4384841,123456880,13/6/2024,132 Dubai,1,002 ردم,-10,5,-50
4384841,123456880,13/6/2024,132 Dubai,2,001 عزل,-20,10,-200
4384841,123456880,13/6/2024,132 Dubai,3,UPS,-1,12,-12
4384841,123456880,13/6/2024,132 Dubai,4,-Not Taxable-,-1,0,0
4384839,123456879,13/6/2024,11 Al Futaim,1,BMW,-5,100,-500
4384839,123456879,13/6/2024,11 Al Futaim,2,UNDEF_SG,-1,0,0
3502825,123456871,11/3/2024,445457 A B C Pattern & Foundry Co,1,7W LED BULB,-1,650,-650
3502825,123456871,11/3/2024,445457 A B C Pattern & Foundry Co,2,TS-AU,-1,10,-65
3502728,123456874,11/3/2024,445457 A B C Pattern & Foundry Co,1,7W LED BULB,-1,650,-650
3502728,123456874,11/3/2024,445457 A B C Pattern & Foundry Co,2,TS-AU,-1,10,-65
3502725,123456869,11/3/2024,445457 A B C Pattern & Foundry Co,1,7W LED BULB,-1,650,-650
3502725,123456869,11/3/2024,445457 A B C Pattern & Foundry Co,2,TS-AU,-1,10,-65
3502627,123456875,11/3/2024,445457 A B C Pattern & Foundry Co,1,7W LED BULB,-1,650,-650
3502627,123456875,11/3/2024,445457 A B C Pattern & Foundry Co,2,TS-AU,-1,10,-65
3502529,123456877,11/3/2024,445457 A B C Pattern & Foundry Co,1,7W LED BULB,-1,650,-650
3502529,123456877,11/3/2024,445457 A B C Pattern & Foundry Co,2,TS-AU,-1,10,-65
3502526,123456865,11/3/2024,445457 A B C Pattern & Foundry Co,1,7W LED BULB,-1,650,-650
3502526,123456865,11/3/2024,445457 A B C Pattern & Foundry Co,2,TS-AU,-1,10,-65
3502425,123456864,11/3/2024,445457 A B C Pattern & Foundry Co,1,7W LED BULB,-1,650,-650
3502425,123456864,11/3/2024,445457 A B C Pattern & Foundry Co,2,TS-AU,-1,10,-65
